
#At time x process y state arr w total z remain y wait k
At time 3 process 1 started arr 2 total 10 remain 10 wait 1
At time 4 process 1 stopped arr 2 total 10 remain 9 wait 1
At time 4 process 1 resumed arr 2 total 10 remain 9 wait 1
At time 5 process 1 stopped arr 2 total 10 remain 8 wait 1
At time 5 process 1 resumed arr 2 total 10 remain 8 wait 1
At time 6 process 1 stopped arr 2 total 10 remain 7 wait 1
At time 6 process 2 started arr 5 total 4 remain 4 wait 1
At time 7 process 2 stopped arr 5 total 4 remain 3 wait 1
At time 7 process 3 started arr 7 total 3 remain 3 wait 0
At time 8 process 3 stopped arr 7 total 3 remain 2 wait 0
At time 8 process 3 resumed arr 7 total 3 remain 2 wait 0
At time 9 process 3 stopped arr 7 total 3 remain 1 wait 0
At time 9 process 3 resumed arr 7 total 3 remain 1 wait 0
At time 9 process 3 finished arr 7 total 3 remain 0 wait -1 TA 2 WTA 0.67
At time 9 process 2 resumed arr 5 total 4 remain 3 wait 1
At time 11 process 2 stopped arr 5 total 4 remain 2 wait 4
At time 11 process 2 resumed arr 5 total 4 remain 2 wait 4
At time 12 process 2 stopped arr 5 total 4 remain 1 wait 4
At time 12 process 2 resumed arr 5 total 4 remain 1 wait 4
At time 13 process 2 stopped arr 5 total 4 remain 0 wait 4
At time 13 process 2 resumed arr 5 total 4 remain 0 wait 4
At time 13 process 2 finished arr 5 total 4 remain 0 wait 4 TA 8 WTA 2.00
At time 13 process 1 resumed arr 2 total 10 remain 7 wait 1
At time 14 process 1 stopped arr 2 total 10 remain 6 wait 8
At time 14 process 1 resumed arr 2 total 10 remain 6 wait 8
At time 15 process 1 stopped arr 2 total 10 remain 5 wait 8
At time 15 process 1 resumed arr 2 total 10 remain 5 wait 8
At time 16 process 1 stopped arr 2 total 10 remain 4 wait 8
At time 16 process 1 resumed arr 2 total 10 remain 4 wait 8
At time 17 process 1 stopped arr 2 total 10 remain 3 wait 8
At time 17 process 1 resumed arr 2 total 10 remain 3 wait 8
At time 18 process 1 stopped arr 2 total 10 remain 2 wait 8
At time 18 process 1 resumed arr 2 total 10 remain 2 wait 8
At time 19 process 1 stopped arr 2 total 10 remain 1 wait 8
At time 19 process 1 resumed arr 2 total 10 remain 1 wait 8
At time 20 process 1 stopped arr 2 total 10 remain 0 wait 8
At time 20 process 1 resumed arr 2 total 10 remain 0 wait 8
At time 20 process 1 finished arr 2 total 10 remain 0 wait 8 TA 18 WTA 1.80
At time 20 process 4 started arr 17 total 20 remain 20 wait 3
At time 21 process 4 stopped arr 17 total 20 remain 19 wait 3
At time 21 process 4 resumed arr 17 total 20 remain 19 wait 3
At time 22 process 4 stopped arr 17 total 20 remain 18 wait 3
At time 22 process 4 resumed arr 17 total 20 remain 18 wait 3
At time 23 process 4 stopped arr 17 total 20 remain 17 wait 3
At time 23 process 4 resumed arr 17 total 20 remain 17 wait 3
At time 24 process 4 stopped arr 17 total 20 remain 16 wait 3
At time 24 process 4 resumed arr 17 total 20 remain 16 wait 3
At time 25 process 4 stopped arr 17 total 20 remain 15 wait 3
At time 25 process 4 resumed arr 17 total 20 remain 15 wait 3
At time 26 process 4 stopped arr 17 total 20 remain 14 wait 3
At time 26 process 4 resumed arr 17 total 20 remain 14 wait 3
At time 27 process 4 stopped arr 17 total 20 remain 13 wait 3
At time 27 process 4 resumed arr 17 total 20 remain 13 wait 3
At time 28 process 4 stopped arr 17 total 20 remain 12 wait 3
At time 28 process 4 resumed arr 17 total 20 remain 12 wait 3
At time 29 process 4 stopped arr 17 total 20 remain 11 wait 3
At time 29 process 4 resumed arr 17 total 20 remain 11 wait 3
At time 30 process 4 stopped arr 17 total 20 remain 10 wait 3
At time 30 process 4 resumed arr 17 total 20 remain 10 wait 3
At time 31 process 4 stopped arr 17 total 20 remain 9 wait 3
At time 31 process 4 resumed arr 17 total 20 remain 9 wait 3
At time 32 process 4 stopped arr 17 total 20 remain 8 wait 3
At time 32 process 4 resumed arr 17 total 20 remain 8 wait 3
At time 33 process 4 stopped arr 17 total 20 remain 7 wait 3
At time 33 process 4 resumed arr 17 total 20 remain 7 wait 3
At time 34 process 4 stopped arr 17 total 20 remain 6 wait 3
At time 34 process 4 resumed arr 17 total 20 remain 6 wait 3
At time 35 process 4 stopped arr 17 total 20 remain 5 wait 3
At time 35 process 4 resumed arr 17 total 20 remain 5 wait 3
At time 36 process 4 stopped arr 17 total 20 remain 4 wait 3
At time 36 process 4 resumed arr 17 total 20 remain 4 wait 3
At time 37 process 4 stopped arr 17 total 20 remain 3 wait 3
At time 37 process 4 resumed arr 17 total 20 remain 3 wait 3
At time 38 process 4 stopped arr 17 total 20 remain 2 wait 3
At time 38 process 4 resumed arr 17 total 20 remain 2 wait 3
At time 39 process 4 stopped arr 17 total 20 remain 1 wait 3
At time 39 process 4 resumed arr 17 total 20 remain 1 wait 3
At time 40 process 4 stopped arr 17 total 20 remain 0 wait 3
At time 40 process 4 resumed arr 17 total 20 remain 0 wait 3
At time 40 process 4 finished arr 17 total 20 remain 0 wait 3 TA 23 WTA 1.15
